Id,y
1,2004.9239853280264
2,1999.7228040876714
3,2000.6207114707413
4,2002.0962627829124
5,2002.6392076731245
6,2002.395024081138
7,2003.4705334916814
8,2003.6510311971742
9,2005.4627852500687
10,2002.6828537975932
11,2001.7761874311732
12,2000.3216078691232
13,2002.977370630873
14,2004.2069628924528
15,2001.851115448407
16,2002.2020722500677
17,2000.8762615436394
18,2001.31699324384
19,2001.0005086822748
20,2006.0538457762027
21,1999.7263297336103
22,2000.4171936686976
23,2004.6481804117313
24,1998.991172882303
25,2001.6374920506312
26,2008.8252740727423
27,2002.984651621501
28,2001.8793211748791
29,2001.8609013528996
30,2000.4391824072031
31,2000.888818519598
32,2001.9199923768097
33,2005.171028658879
34,2005.3277259937533
35,1997.4802237055321
36,2002.7268044575612
37,2001.818607716489
38,2002.1398453075162
39,1999.6633945581561
40,2005.9244517132329
41,2003.1778110993735
42,2006.1366393761953
43,2002.3393641163655
44,2002.6970596581152
45,2001.0205898847328
46,2004.2624763159668
47,2003.4324751090326
48,2002.5343555756358
49,2002.8920421692455
50,1996.3785594763929
51,2003.3077075740578
52,2002.8704723638111
53,2002.7000790749082
54,2002.9050506456663
55,2001.7335411984868
56,2003.1997187120987
57,2005.4561143191372
58,2001.797306077942
59,1999.4532861485018
60,2006.0961443330098
61,1998.7709921285348
62,2006.10537610551
63,2000.1283352128974
64,2002.0928613824456
65,2001.4103113696215
66,2001.7203806233892
67,2001.9267016485685
68,2002.630777488669
69,2003.1970767159064
70,2002.3390168332562
71,2001.5287716598048
72,2001.1130347339251
73,2002.283533176767
74,2002.7671572156905
75,2002.995483704416
76,2000.7712561662759
77,2003.3695700977432
78,1998.7570645188666
79,2003.3451882088084
80,2003.585821378289
81,2002.542072841429
82,2004.7195042760331
83,2004.0339261908043
84,2001.6506148918786
85,2005.681788516874
86,2004.6520788739174
87,2009.4329293287783
88,2002.4326491841948
89,1998.8758766902315
90,2003.472149718021
91,2005.569852016871
92,1998.7376245177845
93,2004.4296520388207
94,2003.0102201351099
95,2001.1778577158032
96,1999.4738234546558
97,2002.7986807345817
98,2002.8475125523262
99,2003.5704988108382
100,2001.2058432839915
101,2003.384124645645
102,1999.4887780214667
103,2002.2284578313474
104,2003.194609389377
105,2002.8968320140712
106,2001.1974418943228
107,2000.2836435404677
108,2001.2464504429827
109,2003.1737040753417
110,2001.1575581930797
111,2003.5821353871008
112,2001.2096630943297
113,2002.5333735838844
114,2003.9141196761668
115,1998.6544707449955
116,2002.5329756929752
117,2001.1478220239987
118,2001.9896745317135
119,2003.1750468018524
120,2002.8981964520108
121,2002.2939437539544
122,2003.9343286924798
123,2002.0459352094476
124,2002.5816150784642
125,2003.153435263423
126,1999.6938893564497
127,2002.1383672414415
128,1996.715325178609
129,2002.809831583526
130,1998.6109923900888
131,1999.9735971130244
132,2002.5553898119097
133,2003.4495171771055
134,2004.0644397212916
135,2001.044555204312
136,2006.666787531725
137,2001.5873707038265
138,2002.23957928237
139,2000.4076641201432
140,2000.231107238719
141,2002.3083327164566
142,2000.76574194308
143,2001.4233214968767
144,2000.5130170848395
145,1997.5576010801851
146,2001.2273581500872
147,2003.5841549905517
148,2003.7310894190637
149,1999.2537179362785
150,2003.7779197936507
151,2001.665044503958
152,2003.3234571482203
153,2002.4886076929915
154,2001.9047545898766
155,2002.180919626236
156,2001.9854869277115
157,2000.8336507346087
158,1998.5467026927524
159,2001.2567764992627
160,2001.9865615505603
161,2001.847192115339
162,2000.174469043939
163,2003.5214298694216
164,2001.4709249066261
165,2001.993345404261
166,2004.3749428193992
167,2002.375856268873
168,2000.7180149624169
169,2000.664316399693
170,1999.0778075402106
171,2004.9464756560853
172,2002.4324168070004
173,2004.8364270266352
174,2002.7573216623366
175,1999.776864524294
176,2001.9373996071442
177,1999.8907298694612
178,2000.888051073615
179,2002.3121725084632
180,1995.521882778203
181,2003.0038251159415
182,2001.1324822990268
183,2001.54526586051
184,2003.99249560829
185,2003.6249400943686
186,2005.5977421285627
187,1997.0351536005946
188,2000.8009612116462
189,2001.9076582290852
190,2000.7386446109101
191,2001.8490864075925
192,2002.186262305521
193,2001.117305379307
194,2004.9331285356768
195,1998.6806121710645
196,2002.042997643433
197,2001.0394655706323
198,2001.6946353729734
199,2001.0275483362727
